Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,24,24-33,OK,N ,R1,2017-09-01,14,12,14.csv,Y.II.12
0,S.sid,24,24-34,OK,NP,R1,2017-09-01,14,13,14.csv,Y.II.13
0,S.sid,24,24-35,OK,Control ,R2,2017-09-01,14,14,14.csv,Y.II.14
0,S.sid,24,24-36,OK,N ,R2,2017-09-01,14,15,14.csv,Y.II.15
0,S.sid,24,24-37,OK,NP,R2,2017-09-01,14,16,14.csv,Y.II.16
0,S.sid,24,24-38,OK,Control ,R1,2017-09-01,14,17,14.csv,Y.II.17
0,S.sid,24,24-39,OK,N ,R1,2017-09-01,14,18,14.csv,Y.II.18
0,S.sid,24,24-40,OK,NP,R1,2017-09-01,14,19,14.csv,Y.II.19
0,S.sid,24,24-41,OK,Control ,R2,2017-09-01,14,20,14.csv,Y.II.20
0,S.sid,24,24-42,OK,N ,R2,2017-09-01,14,21,14.csv,Y.II.21
0,S.sid,24,24-43,OK,NP,R2,2017-09-01,15,1,15.csv,Y.II.1
0,S.sid,24,24-44,OK,Control ,R1,2017-09-01,15,2,15.csv,Y.II.2
0,S.sid,24,24-45,OK,N ,R1,2017-09-01,15,3,15.csv,Y.II.3
0,S.sid,24,24-46,OK,NP,R1,2017-09-01,15,4,15.csv,Y.II.4
0,S.sid,24,24-47,OK,Control ,R2,2017-09-01,15,5,15.csv,Y.II.5
0,S.sid,24,24-48,OK,N ,R2,2017-09-01,15,6,15.csv,Y.II.6
0,S.sid,24,24-49,OK,NP,R2,2017-09-01,15,7,15.csv,Y.II.7
0,S.sid,24,24-50,OK,Control ,R1,2017-09-01,15,8,15.csv,Y.II.8
0,S.sid,24,24-51,OK,N ,R1,2017-09-01,15,9,15.csv,Y.II.9
0,S.sid,24,24-52,OK,NP,R1,2017-09-01,15,10,15.csv,Y.II.10
0,S.sid,24,24-53,OK,Control ,R2,2017-09-01,15,11,15.csv,Y.II.11
0,S.sid,27,27-3,OK,N ,R2,2017-09-01,16,1,16.csv,Y.II.1
0,S.sid,27,27-4,OK,NP,R2,2017-09-01,16,2,16.csv,Y.II.2
0,S.sid,27,27-5,OK,Control ,R1,2017-09-01,16,3,16.csv,Y.II.3
0,S.sid,27,27-6,OK,N ,R1,2017-09-01,16,4,16.csv,Y.II.4
0,S.sid,27,27-7,OK,NP,R1,2017-09-01,16,5,16.csv,Y.II.5
0,S.sid,27,27-9,OK,Control ,R2,2017-09-01,16,6,16.csv,Y.II.6
0,S.sid,27,27-10,OK,N ,R2,2017-09-01,16,7,16.csv,Y.II.7
0,S.sid,27,27-13,OK,NP,R2,2017-09-01,16,8,16.csv,Y.II.8
0,S.sid,27,27-14,OK,Control ,R1,2017-09-01,16,9,16.csv,Y.II.9
0,S.sid,27,27-15,OK,N ,R1,2017-09-01,16,10,16.csv,Y.II.10
0,S.sid,27,27-16,OK,NP,R1,2017-09-01,16,11,16.csv,Y.II.11
0,S.sid,27,27-18,OK,Control ,R2,2017-09-01,16,12,16.csv,Y.II.12
0,S.sid,27,27-19,OK,N ,R2,2017-09-01,16,13,16.csv,Y.II.13
0,S.sid,27,27-20,OK,NP,R2,2017-09-01,16,14,16.csv,Y.II.14
0,S.sid,27,27-22,OK,Control ,R1,2017-09-01,16,15,16.csv,Y.II.15
0,S.sid,27,27-23,OK,N ,R1,2017-09-01,16,16,16.csv,Y.II.16
0,S.sid,27,27-25,OK,NP,R1,2017-09-01,16,17,16.csv,Y.II.17
0,S.sid,27,27-27,OK,Control ,R2,2017-09-01,16,18,16.csv,Y.II.18
0,S.sid,27,27-28,OK,N ,R2,2017-09-01,16,19,16.csv,Y.II.19
0,S.sid,27,27-29,OK,NP,R2,2017-09-01,16,20,16.csv,Y.II.20
0,S.sid,27,27-31,Meh,NP,R1,2017-09-01,16,21,16.csv,Y.II.21
0,S.sid,27,27-36,OK,Control ,R1,2017-09-01,17,1,17.csv,Y.II.1
0,S.sid,27,27-39,OK,N ,R1,2017-09-01,17,2,17.csv,Y.II.2
0,S.sid,27,27-40,OK,NP,R1,2017-09-01,17,3,17.csv,Y.II.3
0,S.sid,27,27-45,OK,Control ,R2,2017-09-01,17,4,17.csv,Y.II.4
0,S.sid,27,27-46,OK,N ,R2,2017-09-01,17,5,17.csv,Y.II.5
0,S.sid,27,27-56,OK,NP,R2,2017-09-01,17,6,17.csv,Y.II.6
0,S.sid,27,27-57,OK,Control ,R1,2017-09-01,17,7,17.csv,Y.II.7
0,S.sid,27,27-64,OK,N ,R1,2017-09-01,17,8,17.csv,Y.II.8
0,S.sid,27,27-65,OK,NP,R1,2017-09-01,17,9,17.csv,Y.II.9
